input	target	error 
0.0000000000	0.1407336900	0.1407336900
0.0714285714	0.3490247358	-0.0848590033
0.1428571429	0.3291139315	-0.4527175510
0.2142857143	0.6342382009	-0.3406897113
0.2857142857	1.3385615197	0.3636336075
0.3571428571	0.7298670878	-0.0519643947
0.4285714286	0.4696463525	0.0357626134
0.5000000000	-0.3132707899	-0.3132707899
0.5714285714	-0.6924384281	-0.2585546890
0.6428571429	-1.4132022481	-0.6313707657
0.7142857143	-1.1234066944	-0.1484787822
0.7857142857	-0.6533867701	0.3215411421
0.8571428571	-0.5653649338	0.2164665487
0.9285714286	-0.6459150792	-0.2120313401
1.0000000000	-0.3118724955	-0.3118724955
